Recency,Frequency,MonetaryValue,R,F,M,RFM_Segment,RFM_Score
28,286,2464.89,3,4,4,344,11
1,124,2056.89,4,4,4,444,12
64,18,340.84,2,2,2,222,6
79,155,2582.51,2,4,4,244,10
143,38,599.68,2,2,2,222,6
39,12,192.72,3,1,1,311,5
2,110,1745.57,4,4,4,444,12
9,144,4485.72,4,4,4,444,12
1,71,1316.66,4,3,3,433,10
82,18,348.71000000000004,2,2,2,222,6
9,95,1922.28,4,3,4,434,11
60,68,1623.63,2,3,4,234,9
15,17,125.22,4,1,1,411,6
30,16,349.83000000000004,3,1,2,312,6
131,63,1089.18,2,3,3,233,8
92,34,716.35,2,2,3,223,7
8,273,4106.82,4,4,4,444,12
29,21,363.95,3,2,2,322,7
22,274,3852.5,3,4,4,344,11
20,481,13309.039999999999,3,4,4,344,11
30,52,981.18,3,3,3,333,9
30,20,355.7,3,2,2,322,7
75,50,1000.39,2,3,3,233,8
47,70,1141.5,3,3,3,333,9
198,8,207.79999999999998,1,1,1,111,3
166,5,95.19999999999999,1,1,1,111,3
79,57,964.83,2,3,3,233,8
358,10,168.0,1,1,1,111,3
39,20,437.82,3,2,2,322,7
8,196,3652.25,4,4,4,444,12
50,121,603.71,3,4,2,342,9
16,33,11990.960000000001,4,2,4,424,10
2,22,1.0658141036401503e-14,4,2,1,421,7
311,22,536.21,1,2,2,122,5
5,111,2101.39,4,4,4,444,12
303,16,238.85,1,1,1,111,3
8,168,3781.7400000000002,4,4,4,444,12
261,21,456.9,1,2,2,122,5
282,10,131.17,1,1,1,111,3
73,20,346.7,2,2,2,222,6
23,463,9114.94,3,4,4,344,11
2,191,4064.9900000000002,4,4,4,444,12
40,34,519.61,3,2,2,322,7
9,62,1004.72,4,3,3,433,10
227,28,160.54000000000002,1,2,1,121,4
316,11,218.45,1,1,1,111,3
36,89,1306.98,3,3,3,333,9
35,148,595.4,3,4,2,342,9
21,120,2753.36,3,4,4,344,11
73,31,410.72,2,2,2,222,6
247,24,415.7,1,2,2,122,5
40,15,197.71,3,1,1,311,5
239,22,511.36,1,2,2,122,5
3,251,7187.34,4,4,4,444,12
4,126,1893.95,4,4,4,444,12
234,97,1982.81,1,3,4,134,8
17,12,179.94000000000003,4,1,1,411,6
8,4,144.0,4,1,1,411,6
39,10,214.89999999999998,3,1,1,311,5
29,35,646.68,3,2,2,322,7
190,70,9861.38,1,3,4,134,8
317,26,452.84999999999997,1,2,2,122,5
92,18,437.6,2,2,2,222,6
109,21,418.09999999999997,2,2,2,222,6
38,119,3320.2200000000003,3,4,4,344,11
51,27,618.27,2,2,2,222,6
19,214,3683.13,3,4,4,344,11
10,133,3002.68,4,4,4,444,12
29,62,1032.58,3,3,3,333,9
29,65,2581.04,3,3,4,334,10
190,29,569.5600000000001,1,2,2,122,5
59,12,153.12,2,1,1,211,4
22,3,739.1999999999999,3,1,3,313,7
79,16,254.18,2,1,1,211,4
365,3,-7.5,1,1,1,111,3
58,202,3.552713678800501e-15,2,4,1,241,7
78,60,1126.85,2,3,3,233,8
23,111,2057.99,3,4,4,344,11
52,65,1193.32,2,3,3,233,8
58,21,643.59,2,2,2,222,6
31,163,3218.98,3,4,4,344,11
278,20,315.6,1,2,2,122,5
2,105,2291.19,4,4,4,444,12
85,36,657.25,2,2,3,223,7
29,42,355.53,3,2,2,322,7
22,11,177.31,3,1,1,311,5
16,95,3214.81,4,3,4,434,11
15,92,1339.41,4,3,3,433,10
2,474,13612.07,4,4,4,444,12
232,11,180.1,1,1,1,111,3
276,18,305.1,1,2,2,122,5
106,38,641.13,2,2,2,222,6
212,91,2614.32,1,3,4,134,8
23,307,6388.35,3,4,4,344,11
11,230,4478.53,4,4,4,444,12
4,43,769.61,4,3,3,433,10
10,64,1270.88,4,3,3,433,10
57,31,640.5,2,2,2,222,6
59,103,2140.63,2,4,4,244,10
90,101,1689.18,2,3,4,234,9
67,394,5953.25,2,4,4,244,10
33,39,671.69,3,2,3,323,8
239,22,486.1,1,2,2,122,5
24,53,1174.58,3,3,3,333,9
115,10,185.9,2,1,1,211,4
25,47,1013.26,3,3,3,333,9
128,24,3344.64,2,2,4,224,8
130,31,477.91,2,2,2,222,6
34,74,1755.38,3,3,4,334,10
5,45,1346.97,4,3,3,433,10
22,128,3669.92,3,4,4,344,11
155,21,318.05,1,2,2,122,5
107,33,603.71,2,2,2,222,6
3,20,314.44,4,2,2,422,8
335,9,114.0,1,1,1,111,3
322,51,914.53,1,3,3,133,7
149,43,2209.85,1,3,4,134,8
11,38,601.98,4,2,2,422,8
17,130,3982.72,4,4,4,444,12
11,56,1152.06,4,3,3,433,10
19,36,686.05,3,2,3,323,8
30,5,91.68,3,1,1,311,5
11,13,245.1,4,1,1,411,6
1,232,3817.08,4,4,4,444,12
8,38,4863.88,4,2,4,424,10
325,4,61.75,1,1,1,111,3
359,2,-227.44,1,1,1,111,3
58,33,620.13,2,2,2,222,6
7,168,3743.18,4,4,4,444,12
151,102,1607.73,1,3,3,133,7
10,94,2986.15,4,3,4,434,11
330,10,225.89999999999998,1,1,1,111,3
5,42,610.52,4,2,2,422,8
12,91,1919.31,4,3,4,434,11
25,45,1331.39,3,3,3,333,9
42,167,17588.26,3,4,4,344,11
52,56,1058.67,2,3,3,233,8
1,52,862.81,4,3,3,433,10
15,646,13677.59,4,4,4,444,12
4,525,12288.22,4,4,4,444,12
4,362,8221.09,4,4,4,444,12
8,105,2283.63,4,4,4,444,12
28,157,2863.08,3,4,4,344,11
372,7,89.14,1,1,1,111,3
114,171,4873.8099999999995,2,4,4,244,10
26,72,1247.61,3,3,3,333,9
206,16,389.01,1,1,2,112,4
28,32,1035.8,3,2,3,323,8
121,41,830.96,2,2,3,223,7
70,37,869.67,2,2,3,223,7
7,27,582.1,4,2,2,422,8
21,43,939.02,3,3,3,333,9
8,270,4867.99,4,4,4,444,12
80,53,797.71,2,3,3,233,8
20,12,219.0,3,1,1,311,5
64,22,274.7,2,2,1,221,5
7,90,2220.84,4,3,4,434,11
15,348,6814.24,4,4,4,444,12
292,33,603.42,1,2,2,122,5
30,174,2616.32,3,4,4,344,11
3,257,9294.1,4,4,4,444,12
97,79,1130.57,2,3,3,233,8
23,142,4241.63,3,4,4,344,11
1,38,848.55,4,2,3,423,9
9,259,4708.86,4,4,4,444,12
106,21,353.86,2,2,2,222,6
4,69,1053.49,4,3,3,433,10
151,56,980.98,1,3,3,133,7
71,19,238.25,2,2,1,221,5
5,42,608.1,4,2,2,422,8
3,359,5713.28,4,4,4,444,12
32,164,2628.98,3,4,4,344,11
85,57,904.33,2,3,3,233,8
4,69,725.07,4,3,3,433,10
5,53,1031.41,4,3,3,433,10
371,24,427.8,1,2,2,122,5
28,124,2609.1,3,4,4,344,11
11,141,3947.7,4,4,4,444,12
71,46,836.33,2,3,3,233,8
114,26,453.01,2,2,2,222,6
24,277,18793.41,3,4,4,344,11
180,12,236.26000000000002,1,1,1,111,3
234,22,383.95,1,2,2,122,5
353,4,110.39999999999999,1,1,1,111,3
315,43,779.5699999999999,1,3,3,133,7
333,4,234.0,1,1,1,111,3
372,11,155.35,1,1,1,111,3
78,38,1013.04,2,2,3,223,7
64,27,427.6,2,2,2,222,6
134,134,546.43,2,4,2,242,8
52,229,9120.39,2,4,4,244,10
2,103,4196.01,4,4,4,444,12
1,4642,29072.1,4,4,4,444,12
4,231,3868.2,4,4,4,444,12
129,15,275.88,2,1,1,211,4
81,53,4366.78,2,3,4,234,9
4,230,21024.01,4,4,4,444,12
236,65,2949.12,1,3,4,134,8
250,6,2203.2,1,1,4,114,6
87,4,112.07999999999998,2,1,1,211,4
16,377,4227.7,4,4,4,444,12
117,97,2791.59,2,3,4,234,9
52,95,1531.44,2,3,3,233,8
8,69,1898.52,4,3,4,434,11
138,18,494.08,2,2,2,222,6
317,45,1693.88,1,3,4,134,8
4,310,6989.63,4,4,4,444,12
239,32,1143.6,1,2,3,123,6
211,12,1351.45,1,1,3,113,5
60,55,892.47,2,3,3,233,8
17,67,1351.24,4,3,3,433,10
20,51,804.23,3,3,3,333,9
21,159,3868.7,3,4,4,344,11
21,30,707.72,3,2,3,323,8
5,107,2273.32,4,4,4,444,12
2,86,1603.87,4,3,3,433,10
9,59,574.42,4,3,2,432,9
3,15,305.71,4,1,2,412,7
10,20,463.66,4,2,2,422,8
65,4,91.85,2,1,1,211,4
192,21,324.92,1,2,2,122,5
374,2,192.60000000000002,1,1,1,111,3
257,25,400.53999999999996,1,2,2,122,5
335,24,545.48,1,2,2,122,5
53,45,860.41,2,3,3,233,8
19,14,430.48,3,1,2,312,6
360,17,194.18,1,1,1,111,3
10,8,6977.04,4,1,4,414,9
184,26,412.58,1,2,2,122,5
37,28,483.65000000000003,3,2,2,322,7
168,26,484.36,1,2,2,122,5
261,31,514.85,1,2,2,122,5
45,15,229.64000000000001,3,1,1,311,5
102,2,125.92,2,1,1,211,4
148,47,1063.46,1,3,3,133,7
96,29,572.2,2,2,2,222,6
281,4,166.04,1,1,1,111,3
178,16,1517.88,1,1,3,113,5
3,59,942.34,4,3,3,433,10
214,6,92.72,1,1,1,111,3
71,47,918.98,2,3,3,233,8
75,5,1759.5,2,1,4,214,7
60,25,397.12,2,2,2,222,6
3,94,1468.1200000000001,4,3,3,433,10
6,25,430.15000000000003,4,2,2,422,8
3,56,1018.71,4,3,3,433,10
322,12,253.05,1,1,1,111,3
38,39,6748.4,3,2,4,324,9
262,9,215.05,1,1,1,111,3
32,27,383.03,3,2,2,322,7
145,24,417.38,1,2,2,122,5
283,18,312.38,1,2,2,122,5
59,175,2612.86,2,4,4,244,10
173,12,134.1,1,1,1,111,3
34,123,683.13,3,4,3,343,10
3,316,5583.62,4,4,4,444,12
144,116,2714.27,1,4,4,144,9
5,439,3876.4,4,4,4,444,12
70,34,1118.99,2,2,3,223,7
66,108,1680.76,2,4,4,244,10
29,52,325.96000000000004,3,3,2,332,8
267,27,354.09,1,2,2,122,5
22,91,871.54,3,3,3,333,9
31,51,1050.8899999999999,3,3,3,333,9
97,50,135.18,2,3,1,231,6
290,20,299.75,1,2,2,122,5
108,84,1881.7,2,3,4,234,9
79,115,1289.15,2,4,3,243,9
373,3,38.1,1,1,1,111,3
8,317,2162.68,4,4,4,444,12
211,46,1106.4,1,3,3,133,7
52,6,504.2,2,1,2,212,5
138,3,147.12,2,1,1,211,4
26,96,1548.07,3,3,3,333,9
283,26,559.12,1,2,2,122,5
26,551,3986.22,3,4,4,344,11
186,107,1607.0600000000002,1,4,3,143,8
366,2,-14.899999999999999,1,1,1,111,3
84,11,380.64,2,1,2,212,5
327,66,599.97,1,3,2,132,6
282,4,374.0,1,1,2,112,4
143,2,343.2300000000001,2,1,2,212,5
58,85,2218.02,2,3,4,234,9
4,154,1535.77,4,4,3,443,11
18,49,841.64,3,3,3,333,9
45,12,552.5699999999999,3,1,2,312,6
276,7,298.0,1,1,2,112,4
9,13,1463.04,4,1,3,413,8
25,42,703.47,3,2,3,323,8
88,7,309.05,2,1,2,212,5
63,72,1158.27,2,3,3,233,8
68,86,1351.09,2,3,3,233,8
214,7,313.77,1,1,2,112,4
24,82,380.46999999999997,3,3,2,332,8
186,3,331.0,1,1,2,112,4
31,34,188.14,3,2,1,321,6
42,24,347.3,3,2,2,322,7
205,4,216.5,1,1,1,111,3
9,125,16293.1,4,4,4,444,12
265,10,138.68,1,1,1,111,3
18,72,509.58,3,3,2,332,8
12,63,2919.81,4,3,4,434,11
59,4,246.0,2,1,1,211,4
40,96,2128.83,3,3,4,334,10
23,75,3075.04,3,3,4,334,10
3,24,1662.3,4,2,4,424,10
5,50,2483.63,4,3,4,434,11
149,22,363.65,1,2,2,122,5
139,109,2982.35,2,4,4,244,10
128,2,594.0,2,1,2,212,5
8,52,1301.44,4,3,3,433,10
17,28,164.23,4,2,1,421,7
4,741,16389.74,4,4,4,444,12
161,28,405.38,1,2,2,122,5
64,29,176.97,2,2,1,221,5
88,31,929.95,2,2,3,223,7
5,45,694.05,4,3,3,433,10
35,84,2062.7000000000003,3,3,4,334,10
122,9,105.1,2,1,1,211,4
78,27,409.9,2,2,2,222,6
22,102,33462.81,3,3,4,334,10
24,107,606.28,3,4,2,342,9
2,130,2156.45,4,4,4,444,12
17,63,1012.9,4,3,3,433,10
15,120,1504.27,4,4,3,443,11
26,9,114.14,3,1,1,311,5
64,47,11581.8,2,3,4,234,9
46,103,876.29,3,4,3,343,10
131,75,683.9,2,3,3,233,8
301,1,-3.75,1,1,1,111,3
36,30,604.51,3,2,2,322,7
288,23,462.95,1,2,2,122,5
144,103,1407.29,1,4,3,143,8
16,118,2053.7,4,4,4,444,12
31,219,4143.02,3,4,4,344,11
2,23,1843.0,4,2,4,424,10
9,65,1042.07,4,3,3,433,10
6,80,1382.8400000000001,4,3,3,433,10
10,17,329.85,4,1,2,412,7
1,183,4734.26,4,4,4,444,12
306,19,108.07,1,2,1,121,4
4,244,3979.04,4,4,4,444,12
7,16,266.39,4,1,1,411,6
8,96,1841.03,4,3,4,434,11
89,109,771.91,2,4,3,243,9
10,10,160.18,4,1,1,411,6
3,33,1194.75,4,2,3,423,9
112,5,135.95,2,1,1,211,4
7,151,452.24,4,4,2,442,10
4,308,10930.26,4,4,4,444,12
198,8,144.8,1,1,1,111,3
212,22,738.6,1,2,3,123,6
156,9,39.239999999999995,1,1,1,111,3
156,24,7092.06,1,2,4,124,7
30,20,372.21999999999997,3,2,2,322,7
240,34,377.2,1,2,2,122,5
19,4,97.5,3,1,1,311,5
1,78,1215.6200000000001,4,3,3,433,10
74,30,545.0,2,2,2,222,6
292,92,535.32,1,3,2,132,6
3,68,6854.51,4,3,4,434,11
31,13,409.5,3,1,2,312,6
23,31,503.76,3,2,2,322,7
23,27,414.76,3,2,2,322,7
4,73,902.22,4,3,3,433,10
78,5,200.72,2,1,1,211,4
22,67,1197.94,3,3,3,333,9
196,28,455.88,1,2,2,122,5
107,31,534.85,2,2,2,222,6
4,342,9797.92,4,4,4,444,12
318,7,120.94999999999999,1,1,1,111,3
106,6,149.05,2,1,1,211,4
12,409,5613.43,4,4,4,444,12
174,29,468.95,1,2,2,122,5
56,4,81.57,2,1,1,211,4
323,15,178.46999999999997,1,1,1,111,3
372,3,50.550000000000004,1,1,1,111,3
9,107,1311.6200000000001,4,4,3,443,11
1,222,4786.99,4,4,4,444,12
3,124,3365.43,4,4,4,444,12
53,176,3346.28,2,4,4,244,10
73,47,789.89,2,3,3,233,8
7,1,204.0,4,1,1,411,6
16,459,7272.75,4,4,4,444,12
4,134,2584.4,4,4,4,444,12
64,40,689.9,2,2,3,223,7
1,43,936.15,4,3,3,433,10
114,26,6912.0,2,2,4,224,8
23,47,659.68,3,3,3,333,9
31,10,1247.5,3,1,3,313,7
11,99,799.48,4,3,3,433,10
39,75,996.52,3,3,3,333,9
357,11,190.55,1,1,1,111,3
55,37,642.77,2,2,2,222,6
58,30,886.63,2,2,3,223,7
138,48,881.07,2,3,3,233,8
80,28,908.46,2,2,3,223,7
9,43,676.99,4,3,3,433,10
254,14,471.57,1,1,2,112,4
291,33,560.47,1,2,2,122,5
99,18,305.28000000000003,2,2,2,222,6
31,35,629.31,3,2,2,322,7
32,196,3079.1,3,4,4,344,11
14,137,1805.91,4,4,4,444,12
64,14,656.6800000000001,2,1,3,213,6
9,422,5684.61,4,4,4,444,12
212,18,348.15000000000003,1,2,2,122,5
64,78,1201.96,2,3,3,233,8
25,8,271.40000000000003,3,1,1,311,5
250,8,183.4,1,1,1,111,3
254,15,307.53,1,1,2,112,4
72,10,248.61,2,1,1,211,4
191,11,346.98,1,1,2,112,4
13,69,1119.49,4,3,3,433,10
373,14,205.86,1,1,1,111,3
24,49,430.9,3,3,2,332,8
82,15,115.46000000000001,2,1,1,211,4
10,2,344.0,4,1,2,412,7
1,470,3717.82,4,4,4,444,12
192,9,228.8,1,1,1,111,3
267,7,177.15,1,1,1,111,3
130,22,919.61,2,2,3,223,7
1,112,729.27,4,4,3,443,11
1,380,12432.28,4,4,4,444,12
4,6,220.10000000000002,4,1,1,411,6
179,6,58.08,1,1,1,111,3
1,1061,27964.48,4,4,4,444,12
126,75,3595.48,2,3,4,234,9
4,18,303.75,4,2,2,422,8
158,29,272.38,1,2,1,121,4
3,1857,57385.88,4,4,4,444,12
9,161,8689.39,4,4,4,444,12
21,24,319.82,3,2,2,322,7
71,26,459.83,2,2,2,222,6
267,170,7741.47,1,4,4,144,9
21,30,1708.8600000000001,3,2,4,324,9
71,6,74.39999999999999,2,1,1,211,4
33,437,5893.32,3,4,4,344,11
1,605,28658.88,4,4,4,444,12
99,1,207.35999999999999,2,1,1,211,4
234,8,101.19,1,1,1,111,3
1,310,6336.29,4,4,4,444,12
40,8,243.94,3,1,1,311,5
3,20,1098.48,4,2,3,423,9
129,2,59.5,2,1,1,211,4
44,60,1524.07,3,3,3,333,9
373,10,350.06,1,1,2,112,4
3,50,766.84,4,3,3,433,10
31,146,1452.8700000000001,3,4,3,343,10
1,280,10510.0,4,4,4,444,12
9,132,2205.63,4,4,4,444,12
117,31,485.19,2,2,2,222,6
22,76,984.91,3,3,3,333,9
20,82,1125.0,3,3,3,333,9
239,1,30.599999999999998,1,1,1,111,3
269,53,254.73,1,3,1,131,5
94,55,922.39,2,3,3,233,8
90,235,3866.33,2,4,4,244,10
5,142,2056.29,4,4,4,444,12
78,15,259.17,2,1,1,211,4
94,2,64.0,2,1,1,211,4
23,46,1039.3,3,3,3,333,9
262,3,77.3,1,1,1,111,3
274,7,109.8,1,1,1,111,3
73,105,1740.63,2,4,4,244,10
197,1,3096.0,1,1,4,114,6
50,139,2545.38,3,4,4,344,11
11,705,3605.08,4,4,4,444,12
22,63,962.39,3,3,3,333,9
16,174,5055.79,4,4,4,444,12
108,46,423.72,2,3,2,232,7
85,136,2385.8,2,4,4,244,10
19,23,307.09,3,2,2,322,7
333,3,110.95,1,1,1,111,3
40,7,614.77,3,1,2,312,6
26,17,228.91,3,1,1,311,5
10,4,712.8000000000001,4,1,3,413,8
29,347,3348.48,3,4,4,344,11
14,86,1676.06,4,3,4,434,11
203,75,1250.3700000000001,1,3,3,133,7
6,15,486.22,4,1,2,412,7
144,1,-611.86,1,1,1,111,3
33,85,971.76,3,3,3,333,9
49,89,1721.57,3,3,4,334,10
95,79,1201.06,2,3,3,233,8
9,122,1379.75,4,4,3,443,11
22,4,91.8,3,1,1,311,5
313,8,112.75,1,1,1,111,3
122,82,1644.99,2,3,4,234,9
46,42,1021.48,3,2,3,323,8
282,42,414.7,1,2,2,122,5
19,65,791.33,3,3,3,333,9
36,133,1310.14,3,4,3,343,10
64,13,712.88,2,1,3,213,6
27,32,116.00999999999999,3,2,1,321,6
8,48,426.81,4,3,2,432,9
4,43,353.65,4,3,2,432,9
16,314,2817.03,4,4,4,444,12
46,72,492.84,3,3,2,332,8
65,17,282.45,2,1,1,211,4
26,265,5725.47,3,4,4,344,11
45,11,121.18,3,1,1,311,5
8,94,3957.78,4,3,4,434,11
15,183,1648.79,4,4,4,444,12
268,1,71.4,1,1,1,111,3
40,84,1539.69,3,3,3,333,9
337,37,236.02,1,2,1,121,4
11,2,114.60000000000001,4,1,1,411,6
19,29,260.68,3,2,1,321,6
95,63,911.94,2,3,3,233,8
61,29,117.88,2,2,1,221,5
136,3,60.7,2,1,1,211,4
11,110,1797.78,4,4,4,444,12
10,229,3384.09,4,4,4,444,12
4,120,9803.96,4,4,4,444,12
19,46,870.09,3,3,3,333,9
10,57,869.46,4,3,3,433,10
15,8,250.26000000000002,4,1,1,411,6
59,150,1205.9,2,4,3,243,9
30,329,5820.16,3,4,4,344,11
94,22,353.48,2,2,2,222,6
10,56,1197.42,4,3,3,433,10
9,143,780.58,4,4,3,443,11
57,92,1518.43,2,3,3,233,8
268,5,333.74,1,1,2,112,4
122,7,133.62,2,1,1,211,4
127,5,62.63999999999999,2,1,1,211,4
78,21,819.2900000000001,2,2,3,223,7
240,66,847.41,1,3,3,133,7
200,5,163.20000000000002,1,1,1,111,3
60,109,2150.85,2,4,4,244,10
3,34,6083.04,4,2,4,424,10
273,16,108.21000000000001,1,1,1,111,3
202,9,257.7,1,1,1,111,3
81,2,358.0,2,1,2,212,5
226,10,160.95,1,1,1,111,3
4,612,2763.41,4,4,4,444,12
13,207,1357.6,4,4,3,443,11
74,43,605.12,2,3,2,232,7
212,59,101.17000000000007,1,3,1,131,5
25,39,727.27,3,2,3,323,8
11,32,680.83,4,2,3,423,9
262,22,329.56,1,2,2,122,5
96,67,663.65,2,3,3,233,8
112,13,270.40000000000003,2,1,1,211,4
203,58,600.07,1,3,2,132,6
93,27,121.74000000000001,2,2,1,221,5
51,16,430.5,2,1,2,212,5
18,143,1922.1,3,4,4,344,11
18,25,501.12,3,2,2,322,7
125,26,465.68,2,2,2,222,6
92,23,711.41,2,2,3,223,7
157,36,1030.4,1,2,3,123,6
4,14,390.66,4,1,2,412,7
14,1,0.0,4,1,1,411,6
12,38,698.58,4,2,3,423,9
62,87,292.32,2,3,1,231,6
61,8,557.62,2,1,2,212,5
269,9,944.1,1,1,3,113,5
263,11,200.29,1,1,1,111,3
1,1677,7454.07,4,4,4,444,12
53,91,2107.66,2,3,4,234,9
11,202,3717.67,4,4,4,444,12
3,224,4404.44,4,4,4,444,12
18,447,3167.64,3,4,4,344,11
1,320,5315.92,4,4,4,444,12
366,1,590.0,1,1,2,112,4
37,101,178.26,3,3,1,331,7
31,15,276.56,3,1,1,311,5
113,16,138.98,2,1,1,211,4
64,30,590.9300000000001,2,2,2,222,6
16,8,258.4,4,1,1,411,6
41,46,542.73,3,3,2,332,8
64,11,126.30000000000001,2,1,1,211,4
122,85,814.86,2,3,3,233,8
18,40,1047.8400000000001,3,2,3,323,8
60,7,93.66,2,1,1,211,4
323,14,196.15,1,1,1,111,3
23,187,2709.12,3,4,4,344,11
156,42,361.11,1,2,2,122,5
39,31,578.9399999999999,3,2,2,322,7
190,54,873.74,1,3,3,133,7
360,11,197.95000000000002,1,1,1,111,3
137,5,87.4,2,1,1,211,4
8,59,2089.85,4,3,4,434,11
1,2,360.0,4,1,2,412,7
268,5,142.5,1,1,1,111,3
165,22,365.29,1,2,2,122,5
104,81,618.09,2,3,2,232,7
155,1,63.75,1,1,1,111,3
351,21,300.42,1,2,2,122,5
4,81,2000.86,4,3,4,434,11
120,1,15.0,2,1,1,211,4
23,57,1367.6100000000001,3,3,3,333,9
7,107,1456.79,4,4,3,443,11
