Recency,Frequency,MonetaryValue,RFM_Segment,ClusterLabel
87,4,112.07999999999998,2.01.01.0,Dormant
16,371,7857.1,4.04.04.0,Champions
117,97,2791.59,2.03.04.0,Regulars
52,95,1531.44,2.03.03.0,Regulars
8,69,1898.52,4.03.04.0,Champions
138,18,494.08,2.02.02.0,Dormant
317,45,1693.88,1.03.04.0,Regulars
4,310,6989.63,4.04.04.0,Champions
239,32,1143.6,1.02.03.0,Regulars
211,12,1351.45,1.01.03.0,Dormant
60,55,892.47,2.03.03.0,Regulars
17,66,1386.04,4.03.03.0,Regulars
20,50,822.23,3.03.03.0,Regulars
38,149,3981.36,3.04.04.0,Champions
64,25,826.74,2.02.03.0,Regulars
5,103,2330.92,4.04.04.0,Champions
2,84,2225.91,4.03.04.0,Champions
9,59,574.42,4.03.02.0,Regulars
364,14,311.95,1.01.02.0,Dormant
10,20,463.66,4.02.02.0,Regulars
65,4,91.85,2.01.01.0,Dormant
192,21,324.92,1.02.02.0,Dormant
374,2,192.60000000000002,1.01.01.0,Dormant
257,25,400.53999999999996,1.02.02.0,Dormant
335,24,545.48,1.02.02.0,Dormant
53,45,860.41,2.03.03.0,Regulars
19,14,430.48,3.01.02.0,Regulars
366,13,254.03,1.01.01.0,Dormant
10,8,6977.04,4.01.04.0,Regulars
187,25,427.58,1.02.02.0,Dormant
37,28,483.65000000000003,3.02.02.0,Regulars
178,25,489.31,1.02.02.0,Dormant
261,31,514.85,1.02.02.0,Dormant
45,15,229.64000000000001,3.01.01.0,Dormant
102,2,125.92,2.01.01.0,Dormant
148,47,1063.46,1.03.03.0,Regulars
96,29,572.2,2.02.02.0,Regulars
281,4,166.04,1.01.01.0,Dormant
262,14,1542.08,1.01.03.0,Dormant
3,59,942.34,4.03.03.0,Champions
214,6,92.72,1.01.01.0,Dormant
71,46,948.88,2.03.03.0,Regulars
75,5,1759.5,2.01.04.0,Dormant
60,25,397.12,2.02.02.0,Regulars
3,91,1474.72,4.03.03.0,Champions
6,25,430.15000000000003,4.02.02.0,Regulars
3,56,1018.71,4.03.03.0,Champions
337,11,293.0,1.01.01.0,Dormant
38,38,6814.64,3.02.04.0,Champions
262,9,215.05,1.01.01.0,Dormant
32,27,383.03,3.02.02.0,Regulars
145,24,417.38,1.02.02.0,Dormant
283,18,312.38,1.02.02.0,Dormant
59,175,2612.86,2.04.04.0,Champions
173,12,134.1,1.01.01.0,Dormant
34,123,683.13,3.04.03.0,Regulars
3,314,5591.42,4.04.04.0,Champions
144,113,2726.77,1.04.04.0,Regulars
5,420,4022.35,4.04.04.0,Champions
70,34,1118.99,2.02.03.0,Regulars
66,103,1702.26,2.04.04.0,Regulars
29,52,325.96000000000004,3.03.02.0,Regulars
267,27,354.09,1.02.02.0,Dormant
22,91,871.54,3.03.03.0,Regulars
31,51,1050.8899999999999,3.03.03.0,Regulars
97,50,135.18,2.03.01.0,Dormant
295,17,311.55,1.01.02.0,Dormant
135,78,1957.1000000000001,2.03.04.0,Regulars
79,110,1324.5,2.04.03.0,Regulars
373,3,38.1,1.01.01.0,Dormant
8,314,2179.93,4.04.04.0,Champions
211,46,1106.4,1.03.03.0,Regulars
52,5,521.2,2.01.02.0,Dormant
138,3,147.12,2.01.01.0,Dormant
26,95,1568.23,3.03.03.0,Regulars
283,26,559.12,1.02.02.0,Dormant
26,538,4036.82,3.04.04.0,Champions
186,107,1607.0600000000002,1.04.03.0,Regulars
84,11,380.64,2.01.02.0,Dormant
327,66,599.97,1.03.02.0,Regulars
282,4,374.0,1.01.02.0,Dormant
143,2,343.2300000000001,1.01.02.0,Dormant
58,85,2218.02,2.03.04.0,Regulars
4,154,1535.77,4.04.03.0,Champions
236,47,854.99,1.03.03.0,Regulars
45,10,573.22,3.01.02.0,Dormant
276,7,298.0,1.01.01.0,Dormant
9,13,1463.04,4.01.03.0,Regulars
25,42,703.47,3.03.03.0,Regulars
88,7,309.05,2.01.02.0,Dormant
63,71,1175.22,2.03.03.0,Regulars
68,82,1378.4,2.03.03.0,Regulars
214,5,354.12,1.01.02.0,Dormant
24,82,380.46999999999997,3.03.02.0,Regulars
186,3,331.0,1.01.02.0,Dormant
31,34,188.14,3.02.01.0,Regulars
42,22,372.8,3.02.02.0,Regulars
205,4,216.5,1.01.01.0,Dormant
9,116,17654.54,4.04.04.0,Champions
265,10,138.68,1.01.01.0,Dormant
18,72,509.58,4.03.02.0,Regulars
12,63,2919.81,4.03.04.0,Champions
176,2,750.0,1.01.03.0,Dormant
40,91,2178.67,3.03.04.0,Regulars
23,75,3075.04,3.03.04.0,Champions
3,24,1662.3,4.02.04.0,Champions
5,50,2483.63,4.03.04.0,Champions
149,22,363.65,1.02.02.0,Dormant
139,107,3006.15,2.04.04.0,Regulars
128,2,594.0,2.01.02.0,Dormant
8,50,1335.19,4.03.03.0,Regulars
17,28,164.23,4.02.01.0,Regulars
9,720,16587.09,4.04.04.0,Champions
161,28,405.38,1.02.02.0,Dormant
64,29,176.97,2.02.01.0,Dormant
88,30,933.7,2.02.03.0,Regulars
5,45,694.05,4.03.03.0,Regulars
35,84,2062.7000000000003,3.03.04.0,Regulars
312,8,117.85,1.01.01.0,Dormant
78,25,415.8,2.02.02.0,Dormant
22,82,42055.96,3.03.04.0,Champions
24,106,607.53,3.04.02.0,Regulars
2,129,2160.7,4.04.04.0,Champions
17,62,1063.9,4.03.03.0,Regulars
15,120,1504.27,4.04.03.0,Champions
26,9,114.14,3.01.01.0,Dormant
64,47,11581.8,2.03.04.0,Champions
55,99,913.54,2.03.03.0,Regulars
131,75,683.9,2.03.03.0,Regulars
36,30,604.51,3.02.02.0,Regulars
288,23,462.95,1.02.02.0,Dormant
144,97,1603.99,1.03.03.0,Regulars
16,116,2064.95,4.04.04.0,Champions
31,215,4167.22,3.04.04.0,Champions
2,23,1843.0,4.02.04.0,Champions
9,63,1064.07,4.03.03.0,Regulars
6,79,1387.79,4.03.03.0,Champions
10,17,329.85,4.01.02.0,Regulars
1,180,4757.16,4.04.04.0,Champions
306,19,108.07,1.02.01.0,Dormant
10,238,4017.54,4.04.04.0,Champions
7,16,266.39,4.01.01.0,Regulars
8,95,1856.63,4.03.04.0,Champions
89,109,771.91,2.04.03.0,Regulars
10,10,160.18,4.01.01.0,Dormant
358,19,1660.9,1.02.03.0,Dormant
112,5,135.95,2.01.01.0,Dormant
7,151,452.24,4.04.02.0,Champions
4,305,11189.91,4.04.04.0,Champions
198,8,144.8,1.01.01.0,Dormant
212,22,738.6,1.02.03.0,Dormant
156,9,39.239999999999995,1.01.01.0,Dormant
158,20,7374.900000000001,1.02.04.0,Regulars
30,20,372.21999999999997,3.02.02.0,Regulars
243,28,390.54,1.02.02.0,Dormant
19,4,97.5,3.01.01.0,Dormant
1,76,1239.38,4.03.03.0,Champions
74,28,558.7,2.02.02.0,Regulars
292,92,535.32,1.03.02.0,Regulars
3,64,6924.110000000001,4.03.04.0,Champions
31,13,409.5,3.01.02.0,Dormant
23,31,503.76,3.02.02.0,Regulars
23,27,414.76,3.02.02.0,Regulars
4,61,974.4200000000001,4.03.03.0,Champions
85,3,211.32,2.01.01.0,Dormant
22,59,1226.89,3.03.03.0,Regulars
196,28,455.88,1.02.02.0,Dormant
107,31,534.85,2.02.02.0,Regulars
4,339,9818.82,4.04.04.0,Champions
318,7,120.94999999999999,1.01.01.0,Dormant
106,6,149.05,2.01.01.0,Dormant
12,404,5655.91,4.04.04.0,Champions
174,26,513.7,1.02.02.0,Dormant
56,4,81.57,2.01.01.0,Dormant
323,14,229.46999999999997,1.01.01.0,Dormant
372,3,50.550000000000004,1.01.01.0,Dormant
9,89,1661.8400000000001,4.03.04.0,Champions
1,219,4810.9400000000005,4.04.04.0,Champions
11,110,3466.2799999999997,4.04.04.0,Champions
53,176,3346.28,2.04.04.0,Champions
73,47,789.89,2.03.03.0,Regulars
7,1,204.0,4.01.01.0,Dormant
16,458,7277.7,4.04.04.0,Champions
4,131,2616.38,4.04.04.0,Champions
64,40,689.9,2.02.03.0,Regulars
1,40,975.36,4.02.03.0,Champions
114,26,6912.0,2.02.04.0,Regulars
23,45,661.3199999999999,3.03.02.0,Regulars
31,10,1247.5,3.01.03.0,Regulars
11,99,799.48,4.03.03.0,Regulars
52,71,1010.18,2.03.03.0,Regulars
357,11,190.55,1.01.01.0,Dormant
55,37,642.77,2.02.02.0,Regulars
74,27,921.88,2.02.03.0,Regulars
138,48,881.07,2.03.03.0,Regulars
80,28,908.46,2.02.03.0,Regulars
9,43,676.99,4.03.03.0,Regulars
273,13,516.42,1.01.02.0,Dormant
291,33,560.47,1.02.02.0,Dormant
99,18,305.28000000000003,2.02.01.0,Dormant
31,35,629.31,3.02.02.0,Regulars
32,172,3237.54,3.04.04.0,Champions
14,136,1835.91,4.04.04.0,Champions
64,14,656.6800000000001,2.01.02.0,Dormant
15,403,5836.86,4.04.04.0,Champions
212,18,348.15000000000003,1.02.02.0,Dormant
78,76,1214.41,2.03.03.0,Regulars
25,8,271.40000000000003,3.01.01.0,Dormant
250,8,183.4,1.01.01.0,Dormant
254,15,307.53,1.01.02.0,Dormant
72,10,248.61,2.01.01.0,Dormant
191,11,346.98,1.01.02.0,Dormant
13,69,1119.49,4.03.03.0,Regulars
373,14,205.86,1.01.01.0,Dormant
24,48,470.8,3.03.02.0,Regulars
82,15,115.46000000000001,2.01.01.0,Dormant
10,2,344.0,4.01.02.0,Dormant
1,425,4436.12,4.04.04.0,Champions
192,9,228.8,1.01.01.0,Dormant
267,7,177.15,1.01.01.0,Dormant
130,22,919.61,2.02.03.0,Regulars
1,112,729.27,4.04.03.0,Champions
3,358,12627.94,4.04.04.0,Champions
4,6,220.10000000000002,4.01.01.0,Regulars
179,6,58.08,1.01.01.0,Dormant
12,1028,28337.38,4.04.04.0,Champions
126,73,3613.63,2.03.04.0,Regulars
4,18,303.75,4.02.01.0,Regulars
158,22,416.08000000000004,1.02.02.0,Dormant
3,1818,58825.83,4.04.04.0,Champions
9,155,8910.82,4.04.04.0,Champions
28,21,345.82,3.02.02.0,Regulars
71,25,477.83,2.02.02.0,Regulars
276,159,7832.47,1.04.04.0,Regulars
21,24,1927.3200000000002,3.02.04.0,Regulars
71,6,74.39999999999999,2.01.01.0,Dormant
33,423,6010.42,3.04.04.0,Champions
1,572,28882.44,4.04.04.0,Champions
99,1,207.35999999999999,2.01.01.0,Dormant
234,8,101.19,1.01.01.0,Dormant
1,304,6424.09,4.04.04.0,Champions
40,8,243.94,3.01.01.0,Dormant
3,20,1098.48,4.02.03.0,Regulars
133,1,76.5,2.01.01.0,Dormant
44,58,1531.6200000000001,3.03.03.0,Regulars
373,10,350.06,1.01.02.0,Dormant
60,47,786.54,2.03.03.0,Regulars
31,145,1488.67,3.04.03.0,Regulars
1,201,12245.960000000001,4.04.04.0,Champions
12,120,2294.78,4.04.04.0,Champions
138,30,501.14,2.02.02.0,Dormant
22,76,984.91,3.03.03.0,Regulars
20,79,1197.81,3.03.03.0,Regulars
239,1,30.599999999999998,1.01.01.0,Dormant
269,50,283.73,1.03.01.0,Dormant
94,55,922.39,2.03.03.0,Regulars
90,235,3866.33,2.04.04.0,Champions
5,140,2099.64,4.04.04.0,Champions
78,15,259.17,2.01.01.0,Dormant
94,2,64.0,2.01.01.0,Dormant
23,44,1073.3,3.03.03.0,Regulars
262,3,77.3,1.01.01.0,Dormant
274,7,109.8,1.01.01.0,Dormant
86,98,1793.58,2.03.04.0,Regulars
197,1,3096.0,1.01.04.0,Dormant
56,127,2607.61,2.04.04.0,Regulars
11,704,3650.41,4.04.04.0,Champions
22,63,962.39,3.03.03.0,Regulars
16,170,5064.94,4.04.04.0,Champions
108,46,423.72,2.03.02.0,Regulars
85,135,2388.75,2.04.04.0,Regulars
19,23,307.09,3.02.01.0,Regulars
333,3,110.95,1.01.01.0,Dormant
40,6,618.52,3.01.02.0,Dormant
26,17,228.91,3.01.01.0,Dormant
10,4,712.8000000000001,4.01.03.0,Regulars
29,319,3707.12,3.04.04.0,Champions
14,86,1676.06,4.03.04.0,Champions
296,74,1257.8700000000001,1.03.03.0,Regulars
6,15,486.22,4.01.02.0,Regulars
33,85,971.76,3.03.03.0,Regulars
49,87,1741.22,3.03.04.0,Regulars
95,79,1201.06,2.03.03.0,Regulars
9,121,1437.85,4.04.03.0,Champions
22,4,91.8,3.01.01.0,Dormant
313,8,112.75,1.01.01.0,Dormant
122,79,1688.29,2.03.04.0,Regulars
46,42,1021.48,3.03.03.0,Regulars
283,41,417.2,1.02.02.0,Dormant
19,65,791.33,3.03.03.0,Regulars
36,131,1319.19,3.04.03.0,Regulars
64,13,712.88,2.01.03.0,Dormant
27,32,116.00999999999999,3.02.01.0,Dormant
22,46,468.41,3.03.02.0,Regulars
4,43,353.65,4.03.02.0,Regulars
16,314,2817.03,4.04.04.0,Champions
46,72,492.84,3.03.02.0,Regulars
65,17,282.45,2.01.01.0,Dormant
26,265,5725.47,3.04.04.0,Champions
45,11,121.18,3.01.01.0,Dormant
8,94,3957.78,4.03.04.0,Champions
15,181,1701.29,4.04.04.0,Champions
268,1,71.4,1.01.01.0,Dormant
40,79,1575.89,3.03.03.0,Regulars
337,37,236.02,1.02.01.0,Dormant
11,2,114.60000000000001,4.01.01.0,Dormant
19,29,260.68,3.02.01.0,Regulars
95,63,911.94,2.03.03.0,Regulars
61,29,117.88,2.02.01.0,Dormant
